,Payment Plan,Cost per Credit,Deposit,Loan Duration,Product Price,Product Price Weighted Llr 200,Quality of Sales
147,MK Phone Samsung A03 Core 2/32 v16 ST Pilot,55,"3,499",365,"23,574",0.14109139700047824,0.945
148,MK Phone Samsung A03 Core 2/32 v15 ST Pilot	,55,"3,999",365,"24,074",0.1245547776679369,0.942
149,MK Phone Samsung A03 Core 2/32 v15 HRA,50,"5,324",365,"23,574",0.20843653501010406,0.947
150,MK Phone Samsung A03 Core 2/32 v15,55,"3,499",365,"23,574",0.15708058651785495,0.911
151,MK Phone Samsung A03 Core 2/32 v14 ST Pilot ,50,"3,999",365,"22,249",0.16762499884192733,0.939
152,MK Phone Samsung A03 Core 2/32 v13,60,"3,999",365,"25,899",0.15589114116040956,0.914
153,MK Phone Samsung A03 Core 2/32 v12,50,"3,499",365,"21,749",0.12731052155002304,0.925
154,MK Phone Samsung A03 Core 2/32 v11,50,"3,299",365,"21,549",0.3175004047496848,0.734
155,MK Phone Samsung A03 Core 2/32 v10,60,"3,999",365,"25,899",0.15391552729874172,0.907
156,MK Phone Samsung A03 Core 2/32 Insurance Pilot v4,71,"3,399",365,"29,314",0.12375720141696306,0.991
157,MK Phone Samsung A03 Core 2/32 Insurance Pilot v3,71,"3,699",365,"29,614",0.1392926313925601,0.977
158,MK Phone Samsung A03 Core 2/32 Insurance Pilot v2,65,"3,199",365,"26,924",0.15013379518187872,0.941
159,MK Phone Samsung A03 Core 2/32 Insurance Pilot v1,65,"2,999",365,"26,724",0.15603143043017217,0.947
160,MK Phone Samsung A03 Core 2/32 28 DS,71,"3,399",365,"29,314",0.13598264196260193,0.987
161,MK Phone Samsung A03 4/64 v3 DS,85,"4,799",365,"35,824",0.1552283499301646,0.931
162,MK Phone Samsung A03 3/32 v9,70,"4,999",365,"30,549",0.15865922251390693,0.914
163,MK Phone Samsung A03 3/32 v8,70,"4,999",365,"30,549",0.1551855148928677,0.920
164,MK Phone Samsung A03 3/32 v7,60,"3,499",365,"25,399",0.15509286842215195,0.918
165,MK Phone Samsung A03 3/32 v5,55,"4,999",365,"25,074",0.11498522096066888,0.950
166,MK Phone Samsung A03 3/32 v3,55,"3,999",365,"24,074",0.13216610888815122,0.939
167,MK Phone Samsung A03 3/32 v2,55,"3,999",365,"24,074",0.13367705038486796,0.941
168,MK Phone Samsung A03 3/32 v14 HRA,60,"3,999",365,"25,899",0.18864929884267667,0.899
169,MK Phone Samsung A03 3/32 v13 HRA,55,"5,824",365,"25,899",0.02863459844676749,0.997
170,MK Phone Samsung A03 3/32 v13,60,"3,999",365,"25,899",0.15029372268156282,0.923
171,MK Phone Samsung A03 3/32 v12,65,"4,399",365,"28,124",0.1602192924264922,0.922
172,MK Phone Samsung A03 3/32 v10 Promo,70,"4,499",365,"30,049",0.17514534359480827,0.914
173,MK Phone Samsung A03 3/32 ST Pilot v14,60,"3,999",365,"25,899",0.1425920941742144,0.949
174,MK Phone Samsung A03 3/32 ST Pilot v10,60,"4,999",365,"26,899",0.09720426159635413,0.968
175,MK Phone Samsung A02S v3,55,"4,499",365,"24,574",0.12565828002894622,0.950
176,MK Phone Samsung A02s v2,55,"4,499",365,"24,574",0.11274134117479247,0.960
177,MK Phone Samsung A02 3GB/64GB v1,55,"3,999",365,"24,074",0.12050238446125137,0.955
178,MK Phone Samsung A02 3/64 Saf-Data v9,55,"3,499",365,"23,574",0.1652509306504347,0.903
179,MK Phone Samsung A02 3/64 Saf-Data v1,55,"3,999",365,"24,074",0.13569619710966793,0.934
180,MK Phone Samsung A02 3/64 Saf-Data 6-M v1,100,"3,499",180,"21,499",0.15583559393284632,0.862
181,MK Phone Samsung A02 2GB/32GB v2,50,"3,499",365,"21,749",0.11744584132698037,0.953
182,MK Phone Samsung A02 2/32 Saf-Data v8,50,"2,999",365,"21,249",0.13280442167214931,0.968
183,MK Phone Samsung A02 2/32 Saf-Data v1,50,"3,499",365,"21,749",0.1380859594298872,0.926
184,MK Phone Samsung A01 v4,50,"3,499",365,"21,749",0.16520976976452692,0.926
185,MK Phone Nokia T10 Tablet 4/64 v1,100,"6,799",365,"43,299",0.21522535652880947,0.930
186,MK Phone Nokia G50 4/128 v7,100,"7,999",365,"44,499",0.08613807809082867,0.963
187,MK Phone Nokia G50 4/128 v5,100,"8,999",365,"45,499",0.11632758516481595,0.960
188,MK Phone Nokia G50 4/128 v3,105,"7,999",365,"46,324",0.09158554276049834,0.972
189,MK Phone Nokia G50 4/128 v19 HRA,100,"5,999",365,"42,499",0.14158472729783927,0.937
190,MK Phone Nokia G50 4/128 v18 HRA,85,"11,474",365,"42,499",0.03436247480665733,0.989
191,MK Phone Nokia G50 4/128 v18,100,"5,999",365,"42,499",0.11710539524633592,0.950
192,MK Phone Nokia G50 4/128 v16,130,"8,499",365,"55,949",0.113719781868885,0.953
193,MK Phone Nokia G50 4/128 v15,135,"9,499",365,"58,774",0.12456015755507682,0.926
194,MK Phone Nokia G50 4/128 v14,145,"14,499",273,"54,084",0.0022660040339169685,1.000
195,MK Phone Nokia G50 4/128 v13,135,"9,499",365,"58,774",0.10412600902213512,0.939
196,MK Phone Nokia G50 4/128 v12,145,"14,499",273,"54,084",0.001598758952382151,1.000
197,MK Phone Nokia G50 4/128 v10,140,"9,499",365,"60,599",0.17513133591100183,0.903
198,MK Phone Nokia G50 4/128 v1,105,"6,999",365,"45,324",0.10064397655784411,0.965
199,MK Phone Nokia G50 4/128 HMD v8,100,"7,999",365,"44,499",0.05687290325350291,0.988
200,MK Phone Nokia G50 4/128 HMD v6,100,"8,999",365,"45,499",0.13429993933874929,0.988
201,MK Phone Nokia G50 4/128 HMD v4,105,"7,999",365,"46,324",0.14048084507160621,0.966
202,MK Phone Nokia G50 4/128 HMD v2,105,"6,999",365,"45,324",0.08248533589689529,0.961
203,MK Phone Nokia G50 4/128 HMD v19,100,"5,999",365,"42,499",0.09859213461614484,0.955
204,MK Phone Nokia G50 4/128 HMD v17,130,"8,499",365,"55,949",0.05190739586532844,0.937
205,MK Phone Nokia G50 4/128 HMD v120 HRA,100,"5,999",365,"42,499",0.1938379116676045,0.938
206,MK Phone Nokia G50 4/128 HMD v12,135,"9,499",365,"58,774",0.17355653640549035,0.887
207,MK Phone Nokia G21 4/64 v7,70,"4,499",365,"30,049",0.10515753524047541,0.954
208,MK Phone Nokia G21 4/64 v6,70,"4,999",365,"30,549",0.09348203629061841,0.963
209,MK Phone Nokia G21 4/64 v20,95,"4,899",365,"39,574",0.1783739412870877,0.921
210,MK Phone Nokia G21 4/64 v2,65,"4,999",365,"28,724",0.08937656747828895,0.964
211,MK Phone Nokia G21 4/64 v19,80,"4,999",365,"34,199",0.15367239646789227,0.937
212,MK Phone Nokia G21 4/64 v18 HRA,95,"4,899",365,"39,574",0.22740623600486437,0.898
213,MK Phone Nokia G21 4/64 v17 HRA,80,"4,999",365,"34,199",0.2016273884375918,0.912
214,MK Phone Nokia G21 4/64 v16 HRA,80,"5,599",365,"34,799",0.21915166683078846,0.893
215,MK Phone Nokia G21 4/64 v15 HRA,70,"9,249",365,"34,799",0.09129800551613541,0.981
216,MK Phone Nokia G21 4/64 v15,80,"5,599",365,"34,799",0.1392211178003625,0.943
217,MK Phone Nokia G21 4/64 v13,85,"5,699",365,"36,724",0.1381125942865694,0.946
218,MK Phone Nokia G21 4/64 v11,90,"5,999",365,"38,849",0.13571920984741767,0.942
219,MK Phone Nokia G21 4/64 v10,90,"5,999",365,"38,849",0.12196591439685003,0.950
220,MK Phone Nokia G21 4/64 Insurance Pilot v1,95,"4,899",365,"39,574",0.1600437980205429,0.943
221,MK Phone Nokia G21 4/64 HMD v8,70,"4,499",365,"30,049",0.08309643409831484,0.965
222,MK Phone Nokia G21 4/64 HMD v5,65,"4,999",365,"28,724",0.05861596838868051,0.973
223,MK Phone Nokia G21 4/64 HMD v20 HRA,95,"4,899",365,"39,574",0.3021268493508192,0.813
224,MK Phone Nokia G21 4/64 HMD v20,95,"4,899",365,"39,574",0.21391652629069358,0.861
225,MK Phone Nokia G21 4/64 HMD v19 HRA,80,"4,999",365,"34,199",0.2268390177832359,0.857
226,MK Phone Nokia G21 4/64 HMD v19,80,"4,999",365,"34,199",0.14907192375442335,0.911
227,MK Phone Nokia G21 4/64 HMD v17 HRA,80,"5,599",365,"34,799",0.6989158140545975,0.830
228,MK Phone Nokia G21 4/64 HMD v16,80,"5,599",365,"34,799",0.09928597743200053,0.966
229,MK Phone Nokia G21 4/64 HMD v14,85,"5,699",365,"36,724",0.14445233790109444,0.963
230,MK Phone Nokia G21 4/64 HMD v11,90,"5,999",365,"38,849",0.12241197407901276,0.942
231,MK Phone Nokia G20 4/64 v3,70,"4,999",365,"30,549",0.1094794833014281,0.954
232,MK Phone Nokia G20 4/64 Saf-Data v4,70,"4,999",365,"30,549",0.10347778459546156,0.963
233,MK Phone Nokia G20 4/64 Saf-Data HMD,70,"4,999",365,"30,549",0.10078634021643339,0.968
234,MK Phone Nokia G10 3/32 v8,65,"4,999",365,"28,724",0.14243175456438845,0.938
235,MK Phone Nokia G10 3/32 v2,55,"3,999",365,"24,074",0.17401787019235618,0.960
236,MK Phone Nokia G10 3/32 v13,60,"3,699",365,"25,599",0.1475957470261647,0.882
237,MK Phone Nokia G10 3/32 v12,60,"3,699",365,"25,599",0.13915094818411827,0.933
238,MK Phone Nokia G10 3/32 Saf-Data v3,55,"3,999",365,"24,074",0.12186455786029564,0.947
